grid_size,elapsed_time
1,1.1920928955078125e-06
2,4.291534423828125e-06
3,1.1682510375976562e-05
4,3.0279159545898438e-05
5,7.033348083496094e-05
6,0.00013780593872070312
7,0.00024819374084472656
8,0.0004525184631347656
9,0.0006773471832275391
10,0.0010478496551513672
