time,cost
0.27997922897338867,96999
0.32655930519104004,96992
0.3276371955871582,96314
0.3313307762145996,96210
0.3339071273803711,96076
0.34366846084594727,96037
0.3453702926635742,96028
0.37003540992736816,96014
0.4178495407104492,96009
0.4565877914428711,95988
0.4921386241912842,95906
0.5126118659973145,95864
0.5158348083496094,95855
0.5764453411102295,95817
0.5866217613220215,95734
0.6341595649719238,95688
0.8439066410064697,95643
0.8986389636993408,95630
0.9417810440063477,95623
1.0277354717254639,95620
1.107426643371582,95578
1.1214990615844727,95567
1.1514904499053955,95546
1.1720459461212158,95516
1.2061471939086914,95510
1.207035779953003,95484
1.2395122051239014,95479
1.240323781967163,95416
1.261768102645874,95243
1.2733588218688965,95241
1.274261713027954,95102
1.2749676704406738,95074
1.426405906677246,95040
1.474705457687378,94781
1.5133864879608154,94600
1.5246999263763428,94598
1.525393009185791,94508
1.5410401821136475,94437
1.6020336151123047,94429
1.6840441226959229,94360
1.6945557594299316,94353
1.7048866748809814,94346
1.7334294319152832,94336
1.7884976863861084,94308
1.918400764465332,94296
1.9285883903503418,94193
1.9339847564697266,94161
1.9578118324279785,94065
2.0097084045410156,94059
2.0104970932006836,94053
2.0368382930755615,93969
2.0554089546203613,93952
2.0652098655700684,93949
2.065922498703003,93940
2.0843915939331055,93915
2.134758710861206,93911
2.1999599933624268,93908
2.21711802482605,93829
2.2178425788879395,93818
2.2185347080230713,93780
2.2201335430145264,93707
2.383643388748169,93698
2.4429612159729004,93685
2.48732852935791,93682
2.488252639770508,93609
2.5038673877716064,93561
2.519796133041382,93501
2.5428996086120605,93482
2.579667568206787,93459
2.6375582218170166,93299
2.6642003059387207,93288
2.742600440979004,93235
2.745027542114258,92772
2.7722270488739014,92724
2.8108553886413574,92722
2.824831962585449,92721
2.8256070613861084,92675
2.8643405437469482,92603
2.931722402572632,92569
2.9450297355651855,92564
2.952714681625366,92545
3.006882905960083,92536
3.0142955780029297,92473
3.0273706912994385,92440
3.0408103466033936,92419
3.0939764976501465,92407
3.094728708267212,92404
3.1236510276794434,92403
3.1523261070251465,92391
3.1699748039245605,92352
3.1708827018737793,92290
3.177746057510376,92268
3.2158164978027344,92223
3.2225775718688965,92213
3.2233145236968994,92042
3.3198046684265137,92026
3.326072931289673,92000
3.3322644233703613,91989
3.338454008102417,91934
3.3590879440307617,91904
3.4313955307006836,91893
3.4538209438323975,91793
3.456840753555298,91779
3.460808753967285,91718
3.4666428565979004,91613
3.468620538711548,91561
3.471235990524292,91538
3.4720306396484375,91276
3.4729020595550537,91266
3.4736480712890625,91121
3.4744441509246826,90912
3.480175495147705,90844
3.5127835273742676,90796
3.5139176845550537,90787
3.5499515533447266,90730
3.572782516479492,90713
3.582753896713257,90604
3.5886924266815186,90587
3.6106762886047363,90582
3.611427068710327,90443
3.6171422004699707,90195
3.642822504043579,90145
3.65224552154541,90084
3.6771507263183594,90037
3.6902289390563965,90016
3.703019857406616,90011
3.749664306640625,89900
3.7659385204315186,89863
3.7746360301971436,89860
3.8771770000457764,89832
3.8969223499298096,89820
4.003639459609985,89757
4.010729789733887,89742
4.080382347106934,89668
4.081348180770874,89607
4.099133491516113,89505
4.100357294082642,89281
4.10464882850647,89276
4.105293273925781,89271
4.128405570983887,89198
4.139727354049683,89188
4.182243824005127,89166
4.208185911178589,89100
4.221082448959351,89055
4.222019910812378,88962
4.235398530960083,88927
4.242865085601807,88881
4.246088027954102,88878
4.287957429885864,88870
4.306335926055908,88848
4.307086944580078,88828
4.321350812911987,88790
4.3240461349487305,88784
4.324709177017212,88772
4.327430248260498,88719
4.358960151672363,88647
4.361706256866455,88622
4.362434148788452,88511
4.365025758743286,88484
4.43715500831604,88340
4.441289901733398,88335
4.445208311080933,88313
4.445867538452148,88248
4.44801139831543,88218
4.451833486557007,88204
4.454644203186035,88201
4.455300331115723,88154
4.475536584854126,88153
4.493184566497803,88147
4.497053384780884,88138
4.499454736709595,88067
4.5102691650390625,88066
4.525721311569214,88057
4.528954267501831,88041
4.530290126800537,88010
4.53907036781311,87916
4.547246932983398,87903
4.548769474029541,87879
4.550053596496582,87853
4.552931308746338,87849
4.554484605789185,87808
4.556104898452759,87712
4.558786153793335,87630
4.5598273277282715,87628
4.560499906539917,87621
4.561408519744873,87576
4.5639729499816895,87556
4.565274715423584,87527
4.566711187362671,87516
4.567852020263672,87454
4.569947719573975,87410
4.570816516876221,87350
4.571533918380737,87349
4.572263240814209,87263
4.573076963424683,87217
4.57392144203186,87159
4.574861764907837,87158
4.575623273849487,87148
4.576475143432617,87145
4.577164888381958,87123
4.5782084465026855,87117
4.578875303268433,87113
4.5796568393707275,87065
4.716359376907349,87051
4.827355623245239,86982
5.21727442741394,86952
5.221734285354614,86927
5.226277589797974,86540
5.365119934082031,86496
5.37741494178772,86449
5.7282891273498535,86430
5.84149432182312,86382
5.852455139160156,86361
6.04694390296936,86270
6.0829339027404785,86242
6.093583822250366,86167
6.294759273529053,86159
6.444833993911743,86029
6.477628469467163,85966
6.554594039916992,85943
6.5638368129730225,85917
6.606224536895752,85717
6.731216907501221,85667
6.739918947219849,85630
6.757204294204712,85625
6.766084671020508,85612
6.766931772232056,85602
6.821409702301025,85580
6.925503969192505,85572
6.927885055541992,85503
7.192509174346924,85495
7.2459306716918945,85469
7.280827522277832,85468
7.294468879699707,85461
7.442289590835571,85458
7.480195045471191,85424
7.557056427001953,85398
7.55806040763855,85189
7.558864593505859,85079
7.608052968978882,84817
7.642643213272095,84816
7.649174213409424,84782
7.655526876449585,84771
7.662173748016357,84765
7.662980079650879,84670
7.673732757568359,84660
7.674493312835693,84641
7.680802583694458,84597
7.691542148590088,84565
7.965980052947998,84550
7.981533527374268,84471
8.095576524734497,84462
8.103126764297485,84461
8.122835874557495,84449
8.1237633228302,84437
8.2101149559021,84407
8.244109630584717,84285
8.26892352104187,84235
8.280657768249512,84197
8.28701639175415,84129
8.397897243499756,84128
8.416259050369263,84104
8.438133478164673,84083
8.464671850204468,84039
8.51577615737915,84032
8.520053148269653,84015
8.543631792068481,83938
8.557903289794922,83874
8.593684673309326,83816
8.614869356155396,83803
8.621591091156006,83792
8.638187170028687,83624
8.652822494506836,83443
8.661770105361938,83180
8.663757801055908,83158
8.668488264083862,83155
8.679585695266724,83067
8.683241844177246,83037
8.702264070510864,82893
8.722599744796753,82874
8.728822231292725,82866
8.729497194290161,82861
8.73015546798706,82831
8.73105764389038,82804
8.732011318206787,82800
8.733828783035278,82789
8.735268592834473,82766
8.737990617752075,82708
9.394859790802002,82617
9.407078504562378,82615
10.521902322769165,82606
10.74924898147583,82603
10.900397539138794,82507
10.922474145889282,82488
11.04003643989563,82427
11.337233304977417,82421
11.337985038757324,82404
11.345099925994873,82393
11.701489686965942,82368
12.018838167190552,82348
12.234620332717896,82320
12.249616622924805,82308
12.579828023910522,82291
12.636915683746338,82280
12.639121532440186,82244
12.641161918640137,82067
12.644126415252686,82065
12.712882041931152,82049
12.714362382888794,81895
14.454729080200195,81878
14.464251279830933,81828
14.874877214431763,81823
14.988490343093872,81821
15.622214555740356,81783
16.171701908111572,81755
16.172462701797485,81729
16.1765718460083,81726
16.514861583709717,81705
16.566680669784546,81638
16.601603746414185,81520
16.605164766311646,81516
18.375507354736328,81512
18.95649480819702,81470
19.65139150619507,81461
19.664817333221436,81453
23.608248233795166,81439
23.610979795455933,81396
23.6481294631958,81361
23.731666803359985,81336
23.76767063140869,81328
23.837777853012085,81283
23.838510751724243,81253
23.918159246444702,81223
23.919366121292114,81193
24.06958270072937,81189
24.115424394607544,81178
24.141233682632446,81167
24.184236764907837,81151
24.31016182899475,81115
24.32167387008667,81093
24.351131677627563,81075
24.351932764053345,81071
24.352593421936035,81016
24.359809160232544,81001
24.412216663360596,80989
24.419522047042847,80953
24.431099891662598,80942
24.568283081054688,80906
24.569103956222534,80902
24.607848405838013,80884
24.610618114471436,80881
24.616384983062744,80875
24.710585355758667,80872
24.752243280410767,80835
24.78068780899048,80814
24.791078805923462,80768
24.93459391593933,80757
24.942747831344604,80722
24.96724820137024,80720
25.047245025634766,80707
25.06718373298645,80641
25.094507455825806,80583
25.110088109970093,80581
25.129825353622437,80575
25.137176513671875,80568
25.140549659729004,80567
25.1413311958313,80536
25.16522479057312,80463
25.16813564300537,80427
25.192574739456177,80416
25.84368324279785,80414
25.846447229385376,80403
26.08703088760376,80353
26.184847593307495,80281
26.18757915496826,80243
26.45465350151062,80195
26.515029191970825,80188
26.690496921539307,80174
28.25891137123108,80172
28.35043215751648,80156
28.401564836502075,80145
28.40898060798645,80142
28.41197896003723,80109
29.23321509361267,80080
29.53906226158142,80020
29.565028429031372,80006
29.7768235206604,79962
29.77970004081726,79902
29.85838484764099,79840
31.74351167678833,79820
33.28529334068298,79803
33.364564657211304,79787
33.45691919326782,79786
33.45777893066406,79722
33.484636545181274,79713
33.49802350997925,79708
34.2591507434845,79699
42.65538144111633,79728
42.65990424156189,79720
42.67311120033264,79718
45.04904341697693,79704
45.06678295135498,79657
48.0648090839386,79650
48.069095611572266,79618
49.74565029144287,79607
58.275315284729004,79618
58.276076555252075,79607
66.75847458839417,79618
66.75918245315552,79607
75.14925360679626,79618
75.14995312690735,79607
83.86136269569397,79618
83.86221361160278,79607
92.88492250442505,79618
92.88570356369019,79607
101.88513803482056,79618
101.88590812683105,79607
110.51658797264099,79618
110.51728677749634,79607
118.90478563308716,79618
118.90554690361023,79607
