time,cost
0.0017838478088378906,24486
0.0029637813568115234,24405
0.003512859344482422,24356
0.0036554336547851562,24184
0.0038301944732666016,24077
0.004037380218505859,23973
0.0044252872467041016,23957
0.004515886306762695,20384
0.0046651363372802734,20015
0.006149768829345703,19982
0.0062923431396484375,19976
0.008837223052978516,19884
0.009725570678710938,19355
0.010067224502563477,19317
0.010465145111083984,19167
0.012727737426757812,19119
0.015689611434936523,18978
0.02657938003540039,19119
0.03954005241394043,23098
0.04211282730102539,23013
0.04221916198730469,22896
0.04276609420776367,22886
0.04303693771362305,22591
0.04583454132080078,21637
0.04725980758666992,21614
0.06339526176452637,25390
0.06391716003417969,25322
0.0757744312286377,25032
0.07696866989135742,24602
0.07776975631713867,23828
0.07834553718566895,23824
0.0790092945098877,23061
0.07923316955566406,22993
0.08379650115966797,22713
0.08406662940979004,22232
0.08480048179626465,21936
0.08570051193237305,21553
0.08689355850219727,21453
0.08771896362304688,21440
0.08851408958435059,21349
0.09016060829162598,21220
0.09444761276245117,21088
0.09942483901977539,21040
0.09978485107421875,20825
0.10023903846740723,20506
0.10473871231079102,20282
0.10639500617980957,20281
0.1067359447479248,20038
0.10843992233276367,19931
0.10883021354675293,19912
0.10969829559326172,19822
0.11079668998718262,19791
0.11095213890075684,19540
0.12285065650939941,20870
0.1230616569519043,20502
0.12333250045776367,19578
0.12447571754455566,19434
0.14432406425476074,22652
0.14482522010803223,22170
0.1452946662902832,22131
0.14734172821044922,21712
0.14754843711853027,21494
0.14777779579162598,21463
0.1505415439605713,21228
0.15105032920837402,21206
0.15128874778747559,21202
0.1516556739807129,21164
0.15202593803405762,21001
0.15241336822509766,20872
0.15344691276550293,20778
0.15406513214111328,20516
0.15445637702941895,20489
0.1676957607269287,20516
0.16789555549621582,20489
0.17029261589050293,19868
0.17072081565856934,19519
0.6680605411529541,21222
0.681891679763794,21633
0.6822876930236816,21620
0.6824989318847656,21606
0.696441650390625,21807
0.6987259387969971,21467
0.6991469860076904,21348
0.6998481750488281,21237
0.7002682685852051,21210
0.7137370109558105,23301
0.717979907989502,23280
0.7353243827819824,22664
0.7358694076538086,22554
0.7373919486999512,22539
0.7546110153198242,22644
0.7584831714630127,22583
0.7599043846130371,22503
0.7772815227508545,23246
0.7978456020355225,23237
0.7981095314025879,22781
0.8222270011901855,26712
0.8252847194671631,26652
0.8259732723236084,26614
0.826789140701294,26464
0.8272562026977539,26366
0.8277435302734375,26125
0.8278906345367432,25557
0.8319342136383057,25384
0.832099437713623,25295
0.8323698043823242,25291
0.8334975242614746,25237
0.8337306976318359,25227
0.8474349975585938,25150
0.8477017879486084,24617
0.8507745265960693,24384
0.8554503917694092,24356
0.8570573329925537,24025
0.8582000732421875,23954
0.8735544681549072,24375
0.8752439022064209,24309
0.8756997585296631,24062
0.877396821975708,23977
0.8778970241546631,23963
0.879115104675293,23672
0.8793559074401855,23432
0.8803427219390869,22948
0.8806045055389404,22930
0.8879129886627197,22195
0.8955981731414795,22051
0.8965845108032227,21976
0.899162769317627,21843
0.9005739688873291,21463
0.9034831523895264,21446
0.916083812713623,23306
0.9163024425506592,23097
0.9186365604400635,22958
0.9341061115264893,24019
0.9377267360687256,23971
0.9391138553619385,23575
0.958582878112793,25888
0.9591972827911377,25542
0.9610624313354492,25541
