time,cost
0.25113368034362793,96999
0.7236025333404541,96985
0.724661111831665,96978
0.7254948616027832,96977
0.7262201309204102,96968
0.7269105911254883,96962
0.7277538776397705,96948
0.7285425662994385,96686
0.7292182445526123,96554
0.7299201488494873,96544
0.731224775314331,96446
0.7322475910186768,96422
0.7332217693328857,96403
0.7340400218963623,96317
0.7347934246063232,96316
0.7356052398681641,96312
0.7365016937255859,96137
0.7373754978179932,96128
0.7380685806274414,96112
0.7388336658477783,96079
0.739886999130249,95900
0.7406489849090576,95839
0.7413315773010254,95837
0.7420682907104492,95826
0.742966890335083,95628
0.7436702251434326,95552
0.7443716526031494,95546
0.7450957298278809,95508
0.7461376190185547,95453
0.7468678951263428,95441
0.7476677894592285,95440
0.7484776973724365,95406
0.7494230270385742,95393
0.7501320838928223,95344
0.7510285377502441,95276
0.7517788410186768,95270
0.7525601387023926,95236
0.7532877922058105,95151
0.7540206909179688,95036
0.7549576759338379,94906
0.7557065486907959,94838
0.7577822208404541,94783
0.7590639591217041,94705
0.7606189250946045,94620
0.7623066902160645,94484
0.7630257606506348,94438
0.7639238834381104,94203
0.7648849487304688,94139
0.7662849426269531,93988
0.7674667835235596,93935
0.7705392837524414,93841
0.771432638168335,93832
0.772280216217041,93690
0.7733235359191895,93547
0.7739996910095215,93538
0.7749388217926025,93527
0.7756593227386475,93504
0.7764205932617188,93430
0.7771806716918945,93421
0.7780942916870117,93412
0.7789223194122314,93409
0.7799317836761475,93404
0.7807459831237793,93396
0.7814741134643555,93393
0.7823150157928467,93392
1.2387959957122803,93381
1.2426421642303467,93379
1.2442800998687744,93353
1.2451579570770264,93345
1.2460322380065918,93323
1.2469990253448486,93300
1.2529828548431396,93289
1.2539904117584229,93244
1.2546794414520264,93233
1.2555441856384277,93214
1.2563402652740479,93208
1.3102531433105469,93201
1.312058925628662,93175
1.313549518585205,91706
1.3149163722991943,91652
1.3160817623138428,91169
1.325561285018921,91134
1.3270487785339355,91009
1.331080675125122,90991
1.4112179279327393,90933
1.5660603046417236,90916
1.5895373821258545,90856
1.8321466445922852,90851
1.8654820919036865,90850
1.9388997554779053,90809
2.040390968322754,90765
2.1882622241973877,90740
2.2186810970306396,90702
2.3573415279388428,90699
2.468782663345337,90689
2.5330963134765625,90679
2.5380783081054688,90619
2.5392699241638184,90491
2.546509265899658,90486
2.547205924987793,90485
2.5665323734283447,90470
2.5860495567321777,90437
2.691706418991089,90381
2.826948881149292,90140
2.8282363414764404,90139
2.838189125061035,90119
2.984879732131958,90045
2.9856841564178467,89896
2.9864890575408936,89766
2.9872164726257324,89595
3.095460891723633,89591
3.096874713897705,88962
3.108515501022339,88959
3.4980251789093018,88909
3.5018980503082275,88813
3.5756683349609375,88810
3.6471598148345947,88806
3.7655346393585205,88797
3.766322612762451,88731
3.8331410884857178,88720
3.915203332901001,88712
3.9504923820495605,88695
3.9797980785369873,88675
3.980602502822876,88639
4.006075620651245,88624
4.011430501937866,88617
4.014899730682373,88604
4.0271220207214355,88544
4.028553485870361,88529
4.035464286804199,88526
4.045779228210449,88502
4.052767753601074,88440
4.122678518295288,88436
4.134458541870117,88402
4.151260852813721,88401
4.158047199249268,88386
4.169554948806763,88365
4.175993204116821,88363
4.18247127532959,88361
4.203847646713257,88356
4.244377136230469,88296
4.36861252784729,88256
4.386347055435181,88243
4.387092351913452,88191
4.541030645370483,88173
4.6856114864349365,88163
4.697084188461304,88085
4.754048824310303,88060
4.816780090332031,88040
4.888902425765991,87985
4.893053293228149,87981
4.899575233459473,87970
4.900396347045898,87922
4.936915159225464,87805
5.048819065093994,87730
5.075821161270142,87708
5.09763765335083,87659
5.116157293319702,87598
5.11726188659668,87325
5.12130331993103,87323
5.12799334526062,87276
5.134484052658081,87267
5.135195732116699,87240
5.136022567749023,87121
5.191076040267944,87083
5.194509029388428,87065
5.197237730026245,87058
5.198925971984863,87052
5.213087558746338,87019
5.217001914978027,86998
5.223527908325195,86943
5.247920989990234,86908
5.261528253555298,86817
5.268801212310791,86795
5.29592752456665,86782
5.319165468215942,86600
5.326692342758179,86510
5.339454174041748,86466
5.342592000961304,86432
5.344507455825806,86382
5.352213621139526,86297
5.355284214019775,86250
5.389506578445435,86244
5.3965370655059814,86101
5.3976171016693115,86098
5.40023398399353,86096
5.403836965560913,86062
5.404714584350586,86054
5.442577362060547,86046
5.753385066986084,85944
5.776412010192871,85925
5.8847877979278564,85922
5.885670900344849,85735
5.88669753074646,85712
5.940997838973999,85682
5.974799871444702,85642
6.589662075042725,85637
6.600365877151489,85630
6.601142406463623,85624
6.630365371704102,85620
6.6413795948028564,85616
6.926352024078369,85611
6.936263561248779,85587
6.936980485916138,85566
6.9383015632629395,85502
6.964839935302734,85493
6.98324179649353,85492
7.408154249191284,85483
7.422166109085083,85479
7.48306679725647,85465
7.492009878158569,85464
7.5078511238098145,85432
7.922445058822632,85293
7.935504913330078,85267
7.9486329555511475,85251
7.962277173995972,85229
8.026896715164185,85197
8.241384983062744,85177
8.262582302093506,85088
8.554918766021729,84995
8.59274673461914,84926
8.6666579246521,84836
8.69373369216919,84802
8.929917335510254,84660
