time,cost
0.2518761157989502,96999
0.29900527000427246,96992
0.3000953197479248,96314
0.3038663864135742,96210
0.3064076900482178,96076
0.3156702518463135,96037
0.3173341751098633,96028
0.34212541580200195,96014
0.38901233673095703,96009
0.4279308319091797,95988
0.46377110481262207,95906
0.48316383361816406,95864
0.48621487617492676,95855
0.5426185131072998,95817
0.5523195266723633,95734
0.5985293388366699,95688
0.8069350719451904,95643
0.8605871200561523,95630
0.9037227630615234,95623
0.9851689338684082,95620
1.064497709274292,95578
1.0787632465362549,95567
1.1091039180755615,95546
1.1298961639404297,95516
1.169163465499878,95510
1.1699604988098145,95484
1.201754093170166,95479
1.2026009559631348,95416
1.2241578102111816,95243
1.2363395690917969,95241
1.2370975017547607,95102
1.2378504276275635,95074
1.391157627105713,95040
1.43912935256958,94781
1.4784460067749023,94600
1.490281581878662,94598
1.491245985031128,94508
1.507096529006958,94437
1.5674009323120117,94429
1.6479761600494385,94360
1.658567190170288,94353
1.6691839694976807,94346
1.6973638534545898,94336
1.7509369850158691,94308
1.8781259059906006,94296
1.8881394863128662,94193
1.893455982208252,94161
1.9159235954284668,94065
1.9662106037139893,94059
1.9671239852905273,94053
1.995162010192871,93969
2.013728618621826,93952
2.0236966609954834,93949
2.0244221687316895,93940
2.0424134731292725,93915
2.0927276611328125,93911
2.156806230545044,93908
2.1736700534820557,93829
2.174384593963623,93818
2.175154209136963,93780
2.176481246948242,93707
2.339221954345703,93698
2.398167848587036,93685
2.441929578781128,93682
2.4428865909576416,93609
2.4586002826690674,93561
2.4743826389312744,93501
2.4973528385162354,93482
2.5334577560424805,93459
2.590451955795288,93299
2.6171212196350098,93288
2.6941978931427,93235
2.6955888271331787,92772
2.7193944454193115,92724
2.7578160762786865,92722
2.7717485427856445,92721
2.7724485397338867,92675
2.810819387435913,92603
2.878436326980591,92569
2.8917529582977295,92564
2.899034261703491,92545
2.952714681625366,92536
2.9601192474365234,92473
2.9730756282806396,92440
2.985856294631958,92419
3.0381264686584473,92407
3.039003849029541,92404
3.068202257156372,92403
3.0972890853881836,92391
3.11533260345459,92352
3.1161444187164307,92290
3.122999906539917,92268
3.1612765789031982,92223
3.1681230068206787,92213
3.168858528137207,92042
3.266138792037964,92026
3.27274227142334,92000
3.279224157333374,91989
3.2854340076446533,91934
3.3063955307006836,91904
3.3780505657196045,91893
3.4004456996917725,91793
3.4034152030944824,91779
3.4074180126190186,91718
3.413332462310791,91613
3.415316104888916,91561
3.417973279953003,91538
3.4187545776367188,91276
3.4196243286132812,91266
3.4203755855560303,91121
3.421175241470337,90912
3.4270517826080322,90844
3.4596595764160156,90796
3.4608185291290283,90787
3.4971494674682617,90730
3.520232677459717,90713
3.5301289558410645,90604
3.535763740539551,90587
3.557831287384033,90582
3.5586249828338623,90443
3.564234733581543,90195
3.5898354053497314,90145
3.5993239879608154,90084
3.6244969367980957,90037
3.6377415657043457,90016
3.650634527206421,90011
3.696889877319336,89900
3.7128500938415527,89863
3.7212750911712646,89860
3.823991060256958,89832
3.8412692546844482,89820
3.94062876701355,89757
3.9474878311157227,89742
4.015820503234863,89668
4.0167059898376465,89607
4.034364938735962,89505
4.035484313964844,89281
4.039803743362427,89276
4.040472745895386,89271
4.063252687454224,89198
4.074600696563721,89188
4.1171019077301025,89166
4.14331316947937,89100
4.156224489212036,89055
4.1571760177612305,88962
4.170393466949463,88927
4.1776111125946045,88881
4.1808247566223145,88878
4.224216461181641,88870
4.243098735809326,88848
4.243901491165161,88828
4.258380889892578,88790
4.26115608215332,88784
4.26192831993103,88772
4.264697551727295,88719
4.296667814254761,88647
4.2994489669799805,88622
4.300203800201416,88511
4.302809000015259,88484
4.375223636627197,88340
4.3793580532073975,88335
4.38329815864563,88313
4.3839802742004395,88248
4.385948419570923,88218
4.389786243438721,88204
4.392625093460083,88201
4.393301248550415,88154
4.4137492179870605,88153
4.431559801101685,88147
4.435407638549805,88138
4.437922239303589,88067
4.449259281158447,88066
4.464908123016357,88057
4.468221664428711,88041
4.4695281982421875,88010
4.478319406509399,87916
4.486764192581177,87903
4.487947702407837,87879
4.489103317260742,87853
4.49193000793457,87849
4.493492841720581,87808
4.495127439498901,87712
4.497751951217651,87630
4.49875545501709,87628
4.49944281578064,87621
4.500382423400879,87576
4.502904891967773,87556
4.50416374206543,87527
4.505603551864624,87516
4.506873369216919,87454
4.509042263031006,87410
4.50993275642395,87350
4.510608434677124,87349
4.511350631713867,87263
4.512109041213989,87217
4.51295280456543,87159
4.513955354690552,87158
4.514622211456299,87148
4.515416622161865,87145
4.516080617904663,87123
4.517061233520508,87117
4.517725706100464,87113
4.518471717834473,87065
4.655826568603516,87051
4.766952037811279,86982
5.152252674102783,86952
5.156615257263184,86927
5.161231279373169,86540
5.295987844467163,86496
5.307960033416748,86449
5.654441833496094,86430
5.764358758926392,86382
5.774435997009277,86361
5.962535858154297,86270
5.998114109039307,86242
