time,cost
0.013779640197753906,45000
0.014133930206298828,44977
0.026772737503051758,44847
0.04349470138549805,44736
0.0445406436920166,44637
0.045577049255371094,44324
0.051976919174194336,44311
0.05275702476501465,44235
0.054250240325927734,44209
0.06190967559814453,44180
0.06600213050842285,44063
0.07377028465270996,44023
0.07523775100708008,44016
0.07718753814697266,44011
0.0776667594909668,43865
0.07921981811523438,43863
0.0824131965637207,43843
0.08285999298095703,43655
0.08864879608154297,43628
0.09191346168518066,43539
0.09594535827636719,43442
0.09642243385314941,43439
0.09755277633666992,43428
0.10064125061035156,43408
0.10107541084289551,43343
0.10187101364135742,43287
0.10334634780883789,43284
0.10411715507507324,43175
0.10544204711914062,43075
0.10617637634277344,42871
0.10738682746887207,42866
0.10903358459472656,42769
0.11043882369995117,42381
0.11179304122924805,42365
0.11362028121948242,42133
0.11388707160949707,42103
0.11412835121154785,41786
0.11455988883972168,41712
0.11482954025268555,41436
0.11522078514099121,41173
0.15604782104492188,40924
0.16888117790222168,40920
0.1708676815032959,40911
0.1722126007080078,40349
0.18639063835144043,40289
0.18712520599365234,40131
0.19061279296875,40117
0.19289016723632812,40106
0.19312024116516113,40070
0.1954634189605713,39926
0.19593429565429688,39731
0.19951176643371582,39693
0.19999098777770996,39689
0.24959254264831543,39665
0.33561086654663086,39646
0.34212470054626465,39481
0.34377050399780273,39437
0.35046839714050293,39407
0.35341525077819824,39280
0.35515761375427246,39254
0.3558158874511719,39123
0.3581061363220215,39078
0.3587229251861572,39058
0.36947154998779297,39052
0.37328577041625977,39037
0.3757507801055908,38930
0.38131046295166016,38914
0.40047264099121094,38773
0.4132230281829834,38764
0.4257824420928955,38748
0.4265563488006592,38655
0.4354219436645508,38561
0.48021745681762695,38543
0.4809422492980957,38518
0.5999002456665039,38486
0.9111976623535156,38751
1.0677905082702637,38723
1.079944372177124,38721
1.166912317276001,38659
1.4735329151153564,39955
1.6051700115203857,39820
1.605520486831665,39613
1.9526124000549316,41313
2.0476043224334717,41223
2.33945894241333,42275
2.405444383621216,42127
2.408332586288452,41689
2.473416566848755,41473
2.5405900478363037,41237
2.6319594383239746,41192
2.634495735168457,41156
2.6372246742248535,41146
2.637624502182007,40637
2.638044595718384,40578
2.712148427963257,40464
2.718144178390503,40293
3.0128397941589355,40277
3.0137012004852295,40246
3.014113426208496,39983
3.0909454822540283,39976
19.50409960746765,41157
19.528513193130493,40978
19.5340416431427,40946
19.534929752349854,40689
19.537379503250122,40388
19.53859519958496,40275
19.63034439086914,40156
19.630776405334473,39580
19.631927251815796,39541
19.63337516784668,39364
19.635323762893677,39178
19.636462450027466,38891
19.717607736587524,38837
19.718143463134766,38756
19.786518335342407,38427
19.91651487350464,38270
19.917437076568604,38247
112.03701901435852,38548
112.23802709579468,38687
112.50188064575195,39460
112.60460352897644,39289
112.83171129226685,40299
113.1590461730957,41560
113.15937209129333,41359
113.27768182754517,41348
113.50908613204956,41630
113.74002718925476,41631
114.03778290748596,43742
114.04274272918701,43627
114.08607840538025,43549
114.08637285232544,43491
114.08937788009644,43181
114.09102177619934,43166
114.09130859375,43136
114.09302520751953,42574
114.3325355052948,43968
114.38320183753967,43821
114.39719891548157,43789
114.44863891601562,43784
114.44925045967102,43507
114.44973540306091,43403
114.45143055915833,43312
114.45251631736755,42829
114.45318865776062,42375
114.45429396629333,42130
114.45824909210205,41908
114.45856428146362,41670
114.50461935997009,41668
114.50494408607483,41487
114.50755333900452,41187
114.5089201927185,41142
114.50951313972473,41115
114.51011204719543,41002
114.51266670227051,40831
114.5140163898468,40819
114.51427578926086,40763
114.51456809043884,40748
114.51481485366821,40712
114.51857447624207,40529
