time,cost
0.29146718978881836,96999
0.34218859672546387,96992
0.34337472915649414,96314
0.3473489284515381,96210
0.35027265548706055,96076
0.360551118850708,96037
0.36258816719055176,96028
0.3892202377319336,96014
0.43862390518188477,96009
0.47940540313720703,95988
0.5169827938079834,95906
0.5380053520202637,95864
0.5412850379943848,95855
0.6007955074310303,95817
0.6108675003051758,95734
0.6579911708831787,95688
0.8704330921173096,95643
0.9262259006500244,95630
0.9709455966949463,95623
1.0575294494628906,95620
1.1407976150512695,95578
1.1563386917114258,95567
1.1896755695343018,95546
1.211012601852417,95516
1.2454166412353516,95510
1.246255874633789,95484
1.2786133289337158,95479
1.2794349193572998,95416
1.301455020904541,95243
1.31419038772583,95241
1.3150687217712402,95102
1.3158910274505615,95074
1.4801733493804932,95040
1.5300800800323486,94781
1.5700299739837646,94600
1.5811798572540283,94598
1.5819883346557617,94508
1.5976755619049072,94437
1.6603691577911377,94429
1.7436397075653076,94360
1.754457712173462,94353
1.7654433250427246,94346
1.794463872909546,94336
1.850728988647461,94308
1.98173189163208,94296
1.9931275844573975,94193
1.9989466667175293,94161
2.023063898086548,94065
2.074911117553711,94059
2.075737476348877,94053
2.1017754077911377,93969
2.119951009750366,93952
2.129812002182007,93949
2.1305336952209473,93940
2.1482584476470947,93915
2.197603225708008,93911
2.2623062133789062,93908
2.279417037963867,93829
2.2801461219787598,93818
2.2808308601379395,93780
2.28214955329895,93707
2.449586868286133,93698
2.5080316066741943,93685
2.5516443252563477,93682
2.5524251461029053,93609
2.5683963298797607,93561
2.5839626789093018,93501
2.606280565261841,93482
2.6429989337921143,93459
2.7002525329589844,93299
2.7268118858337402,93288
2.804565906524658,93235
2.805947780609131,92772
2.8310179710388184,92724
2.870211124420166,92722
2.884718656539917,92721
2.8855056762695312,92675
2.924380302429199,92603
2.9927148818969727,92569
3.0060222148895264,92564
3.013227701187134,92545
3.0670199394226074,92536
3.074331760406494,92473
3.087053060531616,92440
3.099843740463257,92419
3.1515774726867676,92407
3.1523525714874268,92404
3.1814584732055664,92403
3.210045576095581,92391
3.2282159328460693,92352
3.2291488647460938,92290
3.236923933029175,92268
3.2759573459625244,92223
3.282928466796875,92213
3.2837307453155518,92042
3.382023334503174,92026
3.3883183002471924,92000
3.394638776779175,91989
3.4013612270355225,91934
3.4226372241973877,91904
3.494049549102783,91893
3.5163822174072266,91793
3.5193583965301514,91779
3.5230536460876465,91718
3.5288803577423096,91613
3.5308265686035156,91561
3.5335962772369385,91538
3.5343732833862305,91276
3.53524112701416,91266
3.535982370376587,91121
3.536771774291992,90912
3.5424838066101074,90844
3.5744450092315674,90796
3.575652599334717,90787
3.6110987663269043,90730
3.634084701538086,90713
3.6439554691314697,90604
3.649592399597168,90587
3.6717584133148193,90582
3.672508716583252,90443
3.6782326698303223,90195
3.7036375999450684,90145
3.7131075859069824,90084
3.738213300704956,90037
3.751251697540283,90016
3.7641217708587646,90011
3.8168387413024902,89900
3.834596633911133,89863
3.843897581100464,89860
3.9523563385009766,89832
3.9701123237609863,89820
4.07468843460083,89757
4.081832647323608,89742
4.151493549346924,89668
4.152535915374756,89607
4.171067953109741,89505
4.172384023666382,89281
4.17737889289856,89276
4.178267002105713,89271
4.202258586883545,89198
4.213846445083618,89188
4.257527828216553,89166
4.283441781997681,89100
4.296471834182739,89055
4.297521352767944,88962
4.311051368713379,88927
4.318359136581421,88881
4.321606159210205,88878
4.3651282787323,88870
4.384066820144653,88848
4.384897232055664,88828
4.401291370391846,88790
4.404108285903931,88784
4.4048357009887695,88772
4.4075329303741455,88719
4.439303398132324,88647
4.441982984542847,88622
4.442699432373047,88511
4.445166110992432,88484
